Бренд	Цена	Старая цена	Цвет	Тип	Сезон	Коллекция	Материал верха основной	Материал подкладки основной	Материал подкладки дополнительный	Материал стельки	Материал подошвы	Перфорация	Тип застежки	Высота каблука (мм)	Высота верха обуви (мм)	Полнота	Пол
BRIGGS	4199	13999	Черный	Кеды	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Ворсин	Unknown	Ворсин	ТЭП	Нет	Молния/Шнурки	35	120	6	Муж.
Thomas Munz	3599	11999	Черный	Кроссовки	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Ворсин	Unknown	Ворсин	Резина	Нет	Молния/Шнурки	30	100	6	Муж.
Thomas Munz	3999	9999	Коричневый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Нет	Шнурки	30	85	6	Муж.
Thomas Munz	3999	9999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Нет	Шнурки	30	85	6	Муж.
Thomas Munz	6999	9999	Коричневый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Нет	Шнурки	30	85	6	Муж.
BRIGGS	4399	10999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Нет	Шнурки	28	75	6	Муж.
BRIGGS	4499	14999	Черный	Кеды	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Ворсин	Unknown	Ворсин	Резина	Нет	Молния/Шнурки	40	120	6	Муж.
BRIGGS	3899	12999	Черный	Кеды	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	Резина	Нет	Молния/Шнурки	30	105	6	Муж.
BRIGGS	3899	12999	Хаки	Кеды	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	Резина	Нет	Молния/Шнурки	30	105	6	Муж.
BRIGGS	4799	15999	Черный	Кеды	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Ворсин	Unknown	Ворсин	Резина	Нет	Шнурки	46	108	6	Муж.
BRIGGS	4799	15999	Черный	Кроссовки	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Ворсин	Unknown	Ворсин	ТЭП	Декоративная	Шнурки	50	95	6	Муж.
BRIGGS	4799	15999	Хаки	Кроссовки	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Ворсин	Unknown	Ворсин	ТЭП	Декоративная	Шнурки	50	95	6	Муж.
BRIGGS	3999	9999	Коричневый	Кроссовки	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Ворсин	Unknown	Ворсин	ТЭП	Декоративная	Шнурки	50	95	6	Муж.
BRIGGS	2699	8999	Черный	Кеды	Весна-осень	Осень-Зима 2024-2025	Искусственная кожа	Ворсин	Unknown	Ворсин	ТЭП	Нет	Шнурки	30	115	6	Муж.
BRIGGS	2699	6999	Коричневый	Кеды	Весна-осень	Осень-Зима 2024-2025	Искусственная кожа	Ворсин	Unknown	Ворсин	ТЭП	Нет	Шнурки	30	115	6	Муж.
BRIGGS	4199	13999	Серый	Кроссовки	Весна-осень	Осень-Зима 2024-2025	Спилок	Ворсин	Unknown	Ворсин	ТЭП	Нет	Шнурки	30	85	6	Муж.
BRIGGS	3899	12999	Черный	Кеды	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	ТЭП	Нет	Молния/Шнурки	25	95	6	Муж.
BRIGGS	3999	9999	Синий	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	Резина	Декоративная	Шнурки	35	85	6	Муж.
BRIGGS	4399	10999	Хаки	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Нет	Шнурки	28	75	6	Муж.
BRIGGS	3999	9999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	Резина	Декоративная	Шнурки	35	80	6	Муж.
BRIGGS	2799	6999	Синий	Кеды	Демисезон	Осень-Зима 2024-2025	Искусственная кожа	Текстиль	Unknown	Текстиль	ТЭП	Нет	Шнурки	30	75	6	Муж.
BRIGGS	2799	6999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Искусственная кожа	Текстиль	Unknown	Текстиль	ТЭП	Нет	Шнурки	30	75	6	Муж.
BRIGGS	4199	13999	Черный	Кроссовки	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Натуральная кожа	ЭВА	Нет	Шнурки	45	100	6	Муж.
BRIGGS	4499	14999	Черный	Кеды	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Натуральная кожа	Резина	Декоративная	Молния/Шнурки	40	105	6	Муж.
Thomas Munz	6999	9999	Синий	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	Резина	Нет	Шнурки	35	75	6	Муж.
BRIGGS	4199	13999	Хаки	Кеды	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Ворсин	Unknown	Натуральная кожа	Резина	Нет	Шнурки	35	90	6	Муж.
BRIGGS	4199	13999	Черный	Кеды	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Ворсин	Unknown	Натуральная кожа	Резина	Нет	Шнурки	35	90	6	Муж.
BRIGGS	4199	13999	Черный	Кеды	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Ворсин	Unknown	Натуральная кожа	Резина	Нет	Шнурки	35	90	6	Муж.
BRIGGS	3199	7999	Синий	Кроссовки	Весна-осень	Осень-Зима 2024-2025	Искусственная кожа	Ворсин	Unknown	Ворсин	ТЭП	Нет	Шнурки	35	80	6	Муж.
BRIGGS	2799	6999	Черный	Кроссовки	Весна-осень	Осень-Зима 2024-2025	Искусственная кожа	Ворсин	Unknown	Ворсин	ТЭП	Нет	Шнурки	30	85	6	Муж.
BRIGGS	2399	5999	Коричневый	Кроссовки	Весна-осень	Осень-Зима 2024-2025	Искусственная кожа	Ворсин	Unknown	Ворсин	ТЭП	Нет	Шнурки	30	85	6	Муж.
BRIGGS	3999	9999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	Резина	Декоративная	Шнурки	35	85	6	Муж.
BRIGGS	3999	9999	Коричневый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	ТЭП	Нет	Шнурки	30	85	6	Муж.
Thomas Munz	5599	13999	Коричневый	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Unknown	Шевро	Резина	Нет	Шнурки	35	80	6	Муж.
BRIGGS	5199	12999	Синий	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Натуральная кожа	Шевро	Резина	Нет	Шнурки	34	70	6	Муж.
Thomas Munz	5599	13999	Коричневый	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Unknown	Шевро	Резина	Нет	Шнурки	35	80	6	Муж.
BRIGGS	5199	12999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Unknown	Шевро	Резина	Нет	Шнурки	34	70	6	Муж.
BRIGGS	5199	12999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Натуральная кожа	Шевро	Резина	Нет	Шнурки	34	70	6	Муж.
Thomas Munz	5599	13999	Синий	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Unknown	Шевро	Резина	Нет	Шнурки	35	80	6	Муж.
BRIGGS	4399	10999	Серый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Нет	Шнурки	32	75	6	Муж.
BRIGGS	5599	7999	Серый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Искусственная кожа	Текстиль	Unknown	Текстиль	ТЭП	Нет	Шнурки	40	80	6	Муж.
BRIGGS	2699	8999	Хаки	Кроссовки	Весна-осень	Осень-Зима 2024-2025	Искусственная кожа	Ворсин	Unknown	Ворсин	ТЭП	Нет	Шнурки	40	95	6	Муж.
BRIGGS	2699	6999	Серый	Кроссовки	Весна-осень	Осень-Зима 2024-2025	Искусственная кожа	Ворсин	Unknown	Ворсин	ТЭП	Нет	Шнурки	40	95	6	Муж.
Thomas Munz	3599	8999	Черный	Кеды	Всесезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Нет	Шнурки	26	80	6	Муж.
BRIGGS	4799	11999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Шевро	ТЭП	Нет	Шнурки	35	80	6	Муж.
BRIGGS	9799	13999	Синий	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Unknown	Шевро	Резина	Нет	Шнурки	32	90	6	Муж.
Thomas Munz	3599	8999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Нет	Шнурки	30	70	6	Муж.
Thomas Munz	3599	8999	Коричневый	Кеды	Всесезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Нет	Шнурки	26	80	6	Муж.
BRIGGS	3999	9999	Синий	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	ТЭП	Нет	Шнурки	30	85	6	Муж.
BRIGGS	5199	12999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Unknown	Шевро	Резина	Нет	Шнурки	32	90	6	Муж.
BRIGGS	3999	9999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	ТЭП	Нет	Шнурки	30	85	6	Муж.
BRIGGS	5199	12999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Unknown	Шевро	Резина	Нет	Шнурки	32	90	6	Муж.
BRIGGS	5199	12999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Unknown	Шевро	Резина	Нет	Шнурки	32	90	6	Муж.
BRIGGS	5599	13999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Unknown	Шевро	Резина	Декоративная	Шнурки	30	80	6	Муж.
Thomas Munz	4399	10999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	ТЭП	Нет	Шнурки	35	75	6	Муж.
BRIGGS	4399	10999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Нет	Шнурки	32	75	6	Муж.
BRIGGS	4399	10999	Хаки	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Нет	Шнурки	32	75	6	Муж.
Thomas Munz	7699	10999	Синий	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	ТЭП	Нет	Шнурки	35	75	6	Муж.
BRIGGS	4399	10999	Хаки	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Декоративная	Шнурки	35	75	6	Муж.
BRIGGS	4399	10999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Нет	Резинка	30	75	6	Муж.
BRIGGS	4399	10999	Хаки	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Нет	Резинка	30	75	6	Муж.
BRIGGS	4399	10999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Декоративная	Шнурки	35	75	6	Муж.
BRIGGS	6999	9999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Нет	Резинка	28	75	6	Муж.
BRIGGS	4799	11999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Натуральная кожа	ЭВА	Нет	Шнурки	50	85	6	Муж.
BRIGGS	4799	11999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	ЭВА	Нет	Шнурки	45	75	6	Муж.
BRIGGS	3999	9999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Натуральная кожа	ТЭП	Нет	Шнурки	30	75	6	Муж.
BRIGGS	3999	9999	Синий	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Натуральная кожа	ТЭП	Нет	Шнурки	30	75	6	Муж.
BRIGGS	4399	10999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Натуральная кожа	Натуральная кожа	ЭВА	Декоративная	Шнурки	50	80	6	Муж.
BRIGGS	3599	8999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	ТЭП	Нет	Молния/Шнурки	28	70	6	Муж.
Thomas Munz	3599	8999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	ТЭП	Нет	Шнурки	28	75	6	Муж.
SALAMANDER	4990	16990	Черный	Кеды высокие	Весна-осень	Осень-Зима 2024-2025	Натуральная кожа	Ворсин	Unknown	Ворсин	Резина	Нет	Молния/Шнурки	40	110	6	Муж.
SALAMANDER	4990	16990	Синий	Кеды высокие	Весна-осень	Осень-Зима 2024-2025	Натуральная кожа	Ворсин	Unknown	Ворсин	Резина	Нет	Молния/Шнурки	40	110	6	Муж.
SALAMANDER	4790	11990	Синий	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Текстиль	ЭВА	Нет	Молния/Шнурки	35	75	6	Муж.
SALAMANDER	7490	14990	Черный	Кеды высокие	Весна-осень	Осень-Зима 2024-2025	Натуральная кожа	Ворсин	Натуральная кожа	Ворсин	Резина	Нет	Молния/Шнурки	35	105	6	Муж.
SALAMANDER	5990	14990	Коричневый	Кеды высокие	Весна-осень	Осень-Зима 2024-2025	Нубук	Текстиль	Натуральная кожа	Натуральная кожа	Резина	Нет	Шнурки	30	85	6	Муж.
SALAMANDER	5090	16990	Коричневый	Кроссовки высокие	Весна-осень	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Текстиль	ТЭП	Нет	Шнурки	35	90	6	Муж.
SALAMANDER	5190	12990	Коричневый	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	КРС	Натуральная кожа	КРС	ТЭП	Нет	Шнурки	32	80	6	Муж.
SALAMANDER	5190	12990	Коричневый	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	КРС	Натуральная кожа	КРС	ТЭП	Нет	Шнурки	27	75	6	Муж.
SALAMANDER	4790	11990	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Спилок	КРС	Натуральная кожа	КРС	ТЭП	Нет	Шнурки	28	75	6	Муж.
SALAMANDER	5190	12990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	КРС	Натуральная кожа	КРС	ТЭП	Нет	Шнурки	27	75	6	Муж.
SALAMANDER	5190	12990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Шевро	Unknown	Шевро	Резина	Нет	Шнурки	38	75	6	Муж.
SALAMANDER	5190	12990	Коричневый	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Шевро	Unknown	Шевро	Резина	Нет	Шнурки	38	75	6	Муж.
SALAMANDER	4790	11990	Коричневый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Текстиль	ТЭП	Нет	Шнурки	40	87	6	Муж.
SALAMANDER	8490	16990	Хаки	Кроссовки высокие	Весна-осень	Осень-Зима 2024-2025	Нубук	Текстиль	Unknown	Натуральная кожа	Резина	Декоративная	Шнурки	31	72	6	Муж.
SALAMANDER	8490	16990	Черный	Кроссовки высокие	Весна-осень	Осень-Зима 2024-2025	Натуральная кожа	Ворсин	Натуральная кожа	Ворсин	Резина	Нет	Шнурки	40	80	6	Муж.
SALAMANDER	4790	11990	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Текстиль	ТЭП	Нет	Шнурки	40	87	6	Муж.
SALAMANDER	9090	12990	Коричневый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Шевро	Текстиль	Шевро	Резина	Нет	Шнурки	38	65	6	Муж.
SALAMANDER	9090	12990	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Шевро	Текстиль	Шевро	Резина	Нет	Шнурки	38	65	6	Муж.
SALAMANDER	4790	11990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Текстиль	ЭВА	Нет	Молния/Шнурки	35	75	6	Муж.
SALAMANDER	5190	12990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	КРС	Натуральная кожа	КРС	Резина	Нет	Шнурки	34	62	6	Муж.
SALAMANDER	5190	12990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	КРС	Натуральная кожа	КРС	ТЭП	Нет	Шнурки	32	80	6	Муж.
SALAMANDER	4790	11990	Синий	Кроссовки	Демисезон	Осень-Зима 2024-2025	Спилок	КРС	Натуральная кожа	КРС	ТЭП	Нет	Шнурки	28	75	6	Муж.
SALAMANDER	5190	12990	Коричневый	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Текстиль	Шевро	Резина	Нет	Шнурки	35	60	6	Муж.
SALAMANDER	5190	12990	Коричневый	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	КРС	Натуральная кожа	КРС	Резина	Нет	Шнурки	34	62	6	Муж.
SALAMANDER	5190	12990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Текстиль	Шевро	Резина	Нет	Шнурки	35	60	6	Муж.
SALAMANDER	5190	12990	Коричневый	Кроссовки	Межсезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Натуральная кожа	Резина	Нет	Шнурки	31	68	6	Муж.
SALAMANDER	5190	12990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Шевро	Шевро	Резина	Нет	Шнурки	40	65	6	Муж.
SALAMANDER	5190	12990	Серый	Кеды	Демисезон	Осень-Зима 2024-2025	Нубук	Текстиль	Шевро	Шевро	Резина	Нет	Шнурки	40	65	6	Муж.
SALAMANDER	9090	12990	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Натуральная кожа	Резина	Нет	Шнурки	31	68	6	Муж.
SALAMANDER	5190	12990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Шевро	Шевро	Резина	Нет	Шнурки	40	65	6	Муж.
SALAMANDER	5590	13990	Коричневый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	КРС	Текстиль	КРС	ТПУ	Нет	Шнурки	37	80	6	Муж.
SALAMANDER	5590	13990	Синий	Кеды	Демисезон	Осень-Зима 2024-2025	Нубук	Текстиль	Unknown	Текстиль	ТЭП	Нет	Молния/Шнурки	40	80	6	Муж.
SALAMANDER	5590	13990	Коричневый	Кеды	Демисезон	Осень-Зима 2024-2025	Нубук	Текстиль	Unknown	Текстиль	ТЭП	Декоративная	Шнурки	40	80	6	Муж.
SALAMANDER	5590	13990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Нубук	Текстиль	Unknown	Текстиль	ТЭП	Декоративная	Шнурки	40	80	6	Муж.
SALAMANDER	5590	13990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Нубук	Текстиль	Unknown	Текстиль	ТЭП	Нет	Молния/Шнурки	40	80	6	Муж.
SALAMANDER	5590	13990	Коричневый	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Текстиль	Натуральная кожа	ТЭП	Нет	Шнурки	30	65	6	Муж.
SALAMANDER	5590	13990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Текстиль	Натуральная кожа	ТЭП	Нет	Шнурки	30	65	6	Муж.
SALAMANDER	5590	13990	Синий	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	КРС	Текстиль	КРС	ТПУ	Нет	Шнурки/Молния	37	80	6	Муж.
SALAMANDER	5590	13990	Зеленый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	КРС	Текстиль	КРС	ТПУ	Нет	Шнурки	37	80	6	Муж.
SALAMANDER	5190	12990	Зеленый	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Текстиль	Шевро	Резина	Декоративная	Шнурки	30	75	6	Муж.
SALAMANDER	8390	11990	Коричневый	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Unknown	Шевро	Резина	Нет	Шнурки	20	70	6	Муж.
SALAMANDER	8390	11990	Синий	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Unknown	Шевро	Резина	Нет	Шнурки	20	70	6	Муж.
SALAMANDER	3990	9990	Синий	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Шевро	ЭВА	Нет	Шнурки	35	80	6	Муж.
SALAMANDER	5190	12990	Рыжий	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Текстиль	Шевро	Резина	Декоративная	Шнурки	30	75	6	Муж.
SALAMANDER	3990	9990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Шевро	ЭВА	Нет	Шнурки	35	80	6	Муж.
SALAMANDER	3990	9990	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Текстиль	Натуральная кожа	Полиуретан	Нет	Шнурки	35	70	6	Муж.
SALAMANDER	4390	10990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Шевро	ЭВА	Нет	Молния/Шнурки	40	75	6	Муж.
SALAMANDER	4390	10990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Текстиль	КРС	Полиуретан	Декоративная	Шнурки	35	85	6	Муж.
SALAMANDER	4390	10990	Коричневый	Кеды	Демисезон	Осень-Зима 2024-2025	Нубук	Натуральная кожа	Текстиль	КРС	Полиуретан	Декоративная	Шнурки	35	85	6	Муж.
BRIGGS	3599	11999	Серый	Кроссовки	Межсезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Натуральная кожа	Натуральная кожа	Резина	Нет	Шнурки	35	78	6	Муж.
BRIGGS	8399	11999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Натуральная кожа	Натуральная кожа	Резина	Нет	Шнурки	35	78	6	Муж.
BRIGGS	10199	16999	Черный	Кроссовки	Зима	Осень-Зима 2024-2025	Натуральная кожа	Искусственный мех	Unknown	Искусственный мех	ТЭП	Нет	Шнурки	40	100	6	Муж.
SALAMANDER	9590	15990	Черный	Кроссовки высокие	Зима	Осень-Зима 2024-2025	Натуральная кожа	Натуральная шерсть	Unknown	Натуральная шерсть	Резина	Декоративная	Молния/Шнурки	40	110	6	Муж.
SALAMANDER	9590	15990	Коричневый	Кеды высокие	Зима	Осень-Зима 2024-2025	Натуральная кожа	Натуральная шерсть	Unknown	Натуральная шерсть	Резина	Нет	Молния/Шнурки	30	100	6	Муж.
BRIGGS	5399	8999	Синий	Кроссовки	Зима	Осень-Зима 2024-2025	Искусственная кожа	Искусственный мех	Unknown	Искусственный мех	ТЭП	Нет	Шнурки	35	115	6	Муж.
BRIGGS	5399	8999	Хаки	Кроссовки	Зима	Осень-Зима 2024-2025	Искусственная кожа	Искусственный мех	Unknown	Искусственный мех	ТЭП	Нет	Шнурки	35	115	6	Муж.
BRIGGS	5399	8999	Черный	Кеды	Зима	Осень-Зима 2024-2025	Искусственная кожа	Искусственный мех	Unknown	Искусственный мех	ТЭП	Нет	Шнурки	35	100	6	Муж.
BRIGGS	4799	7999	Синий	Кроссовки	Зима	Осень-Зима 2024-2025	Искусственная кожа	Искусственный мех	Unknown	Искусственный мех	ТЭП	Нет	Шнурки	35	80	6	Муж.
BRIGGS	4799	7999	Желтый	Кроссовки	Зима	Осень-Зима 2024-2025	Искусственная кожа	Искусственный мех	Unknown	Искусственный мех	ТЭП	Нет	Шнурки	35	80	6	Муж.
Thomas Munz	3899	12999	Черный	Кеды	Весна-осень	Осень-Зима 2024-2025	Натуральная кожа	Ворсин	Unknown	Текстиль	ТЭП	Нет	Шнурки	30	85	6	Муж.
Rieker	6950	9950	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Натуральная кожа	Натуральная кожа	Резина	Unknown	Шнурки	25	60	7	Муж.
Rieker	7450	7450	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Текстиль	Резина	Unknown	Шнурки	30	60	7	Муж.
SALAMANDER	8990	14990	Черный	Кроссовки высокие	Зима	Осень-Зима 2024-2025	Натуральная кожа	Натуральная шерсть	Unknown	Натуральная шерсть	Резина	Нет	Молния/Шнурки	35	105	6	Муж.
SALAMANDER	8990	14990	Коричневый	Кроссовки высокие	Зима	Осень-Зима 2024-2025	Натуральная кожа	Натуральная шерсть	Unknown	Натуральная шерсть	Резина	Нет	Молния/Шнурки	35	105	6	Муж.
SALAMANDER	9990	14990	Синий	Кроссовки	Зима	Осень-Зима 2024-2025	Натуральная кожа	Натуральный мех	Unknown	Натуральный мех	ТЭП	Нет	Шнурки	30	90	6	Муж.
SALAMANDER	9590	15990	Черный	Кеды высокие	Зима	Осень-Зима 2024-2025	Натуральная кожа	Натуральная шерсть	Unknown	Натуральная шерсть	Резина	Нет	Молния/Шнурки	30	100	6	Муж.
Rieker	7950	7950	Синий	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Текстиль	Полиуретан	Unknown	Шнурки	35	60	8	Муж.
SALAMANDER	9990	14990	Черный	Кроссовки	Зима	Осень-Зима 2024-2025	Натуральная кожа	Натуральный мех	Unknown	Натуральный мех	ТЭП	Нет	Шнурки	30	90	6	Муж.
SALAMANDER	9590	15990	Синий	Кеды высокие	Зима	Осень-Зима 2024-2025	Натуральная кожа	Натуральная шерсть	Unknown	Натуральная шерсть	Резина	Нет	Молния/Шнурки	30	100	6	Муж.
