Бренд	Цена	Старая цена	Цвет	Тип	Сезон	Коллекция	Материал верха основной	Материал подкладки основной	Материал подкладки дополнительный	Материал стельки	Материал подошвы	Перфорация	Тип застежки	Высота каблука (мм)	Высота верха обуви (мм)	Полнота	Пол
SALAMANDER	5999	14990	Коричневый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Нубук	Текстиль	Unknown	Натуральная кожа	ЭВА	Нет	Шнурки	40	70	6	Муж.
SALAMANDER	5590	13990	Синий	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Текстиль	Натуральная кожа	ЭВА	Декоративная	Шнурки	45	70	6	Муж.
SALAMANDER	5590	13990	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Текстиль	Натуральная кожа	ЭВА	Декоративная	Шнурки	35	75	6	Муж.
SALAMANDER	4799	11990	Синий	Кроссовки	Межсезон	Осень-Зима 2024-2025	Текстиль	Текстиль	Unknown	Натуральная кожа	Резина	Нет	Шнурки	22	80	6	Муж.
SALAMANDER	4799	11990	Синий	Кроссовки	Межсезон	Осень-Зима 2024-2025	Текстиль	Текстиль	Unknown	Шевро	ТЭП	Нет	Шнурки	28	78	6	Муж.
SALAMANDER	10490	14990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Натуральная кожа	ЭВА	Нет	Шнурки	30	80	6	Муж.
SALAMANDER	5599	13990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Шевро	Текстиль	Шевро	Резина	Нет	Шнурки	27	70	6	Муж.
SALAMANDER	5199	12990	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Натуральная кожа	Резина	Без перфорации	Шнурки	35	70	6	Муж.
SALAMANDER	9790	13990	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Шевро	Резина	Нет	Шнурки	24	80	6	Муж.
SALAMANDER	5999	14990	Белый	Кеды	Межсезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Натуральная кожа	ЭВА	Нет	Шнурки	30	80	6	Муж.
SALAMANDER	5590	13990	Хаки	Кроссовки	Демисезон	Осень-Зима 2024-2025	Нубук	Натуральная кожа	Текстиль	Натуральная кожа	ЭВА	Без перфорации	Шнурки	50	70	6	Муж.
SALAMANDER	5199	12990	Коричневый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Текстиль	Unknown	Натуральная кожа	ЭВА	Без перфорации	Шнурки	45	60	6	Муж.
SALAMANDER	5590	13990	Коричневый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Нубук	Натуральная кожа	Текстиль	Натуральная кожа	ЭВА	Без перфорации	Шнурки	50	70	6	Муж.
